Key,Value
messages,Nachrichten
messagesInfo,Zuletzt angezeigte Nachrichten
confirmMoveHead,Eintrag verschieben
confirmMove,Möchtet Ihr die Position dieses Eintrags ändern?
confirmMove2,(Er wird vor den nächsten angeklickten Eintragen verschoben)
confirmRemoveHead,Eintrag löschen
confirmRemove,"Seid Ihr sicher, dass Ihr diesen Eintrag entfernen möchtet?"
confirmRemove2,(Er wird dauerhaft gelöscht und kann nicht wiederhergestellt werden)
confirmFindHead,Zum Zielort reisen
confirmFind,"Möchtet Ihr die Weltkarte öffnen, um dorthin zu reisen:"
confirmFind2,(Hinweis: Ihr könnt die Reise über die Weltkarte abbrechen)
enterNote,Geben Sie Ihre Notiz ein:
completedQuest,abgeschlossen
endedQuest,erledigt
finishQuestHeader,{0} {1} am {2}:
quest,Quest
noteHeader,{0} in {1}:
houseDeed,Ihr habt die Urkunden erhalten und besitzt nun ein Haus in %town in %region.
levelProgress,Bis zur nächsten Stufe: {0}%
readMap,Ihr habt den Standort von %map nach dem Studium einer Karte entdeckt.
readMapTG,Die Diebesgilde hat den streng gehüteten Aufenthaltsort einer Schatztruhe namens %map enthüllt.
readMapDB,"Die Dunkle Bruderschaft hat das Geheimnis einiger schatzbeladener Krypten gelüftet, die sich in %map befinden."
readMapFail,Du hast den auf der Karte angegebenen Ort bereits entdeckt.
howManyItems,Wie viele Gegenstände kannst du aufnehmen(maximal {0})?
wagonFullGold,Euer Wagen kann nur {0} Goldstücke aufnehmen.
itemsIdentified,Gegenstand identifiziert.
repairDone,FERTIG
repairDays,%d Tage
interruptRepair,"Den Gegenstand zurücknehmen, bevor er repariert ist?"
repairNote,Habe {0} zur Reparatur bei {1} gelassen.
doesntNeedIdentify,Das muss nicht identifiziert werden.
goldAmount,{0} Goldstücke
goldWeight,Gewicht: {0} kg
letterOfCredit,Ihr habt mit einem Kreditbrief bezahlt.
stealSuccess,Ihr habt Erfolg.
stealFailure,Ihr habt keinen Erfolg.
cannotRemoveItem,Ihr könnt den Gegenstand nicht entfernen.
cannotCarryAnymore,Mehr könnt Ihr nicht tragen.
cannotHoldAnymore,Euer Karren ist voll. 
cannotUseThis,Nicht benutzbar.
equippingWeapon,%s angelegt
lightDouse,Ihr löscht die %it.
lightLight,Ihr entfacht die %it.
lightDies,Eure %it flackert und erlischt.
lightEmpty,Eure %it hat kein Öl mehr.
lightRefuel,Ihr schüttet eine Flasche Öl über Eure %it.
lightFull,Eure %it ist bereit.
kgSrc,Kilogramm
kgRep,kg
damSrc,Schadenspunkte
damRep,Schaden
arSrc,Rüstungswert
arRep,Rüstung
northern,(nördlich)
southern,(südlich)
noWagon,Ihr besitzt keinen Karren.
exitTooFar,"Der Ausgang ist zu weit entfernt, um auf Euren Karren zuzugreifen."
bookUnavailable,Das Buch ist zerstört und unlesbar.
unknownAuthor,Unbekannter Verfasser
cannotDeleteVamp,Ihr könnt Vampirzauber nicht löschen.
cannotDeleteWere,Ihr könnt Lykanthropiezauber nicht löschen
noRecipes,Ihr habt keine Rezepte.
potionMixed,Euer Trank wurde gemischt.
potionFailed,Aus den Zutaten wurde kein wirksamer Zaubertrank gebraut.
reqIngredients,Ihr habt nicht die erforderlichen Zutaten.
region,Region
account,Konto
loan,Darlehen
dueDate,Fälligkeitsdatum
noAccount,Kein Konto
loanReminder,"Ihr habt ein Darlehen in Höhe von {0} Goldstücken, das in"
loanReminder2,weniger als {0} Monaten in {1} fällig wird
classicIcons,Klassik
suggestedIcons,Vorschlag
serviceMembersOnly,Meine Dienste sind nur für Mitglieder.
serviceDonateHowMuch,Wie viel Geld spenden :
curedDisease,Ihr seid geheilt.
freeHolidayCuring,Durch den heutigen Feiertag werdet Ihr kostenlos geheilt.
gettingQuests1,"Hmm, mal sehen, welche Aufgauben wir haben."
gettingQuests2,"Bitte habt Geduld und wartet einen Moment hier, %pcf."
illegalRestWarning,"Es ist illegal, in oder in der Nähe einer Stadt zu rasten. Trotzdem machen?"
cannotLoiterMoreThanXHours1,Ihr könnt nicht länger warten
cannotLoiterMoreThanXHours2,als {0} Stunden.
automapToolTipTextGridButton,"Linksklick: Umschalten zwischen 2D-Draufsicht und 3D-Ansicht (Hotkey: {0})\Rechtsklick: Rotationsachse auf Spielerposition zurücksetzen (Hotkey: {1})\Mausrad nach oben, während Maus über Button ist: Perspektive einnehmen (nur 3D-Modus)\Mausrad nach unten, während Maus über Button ist: Perspektive abnehmen (nur 3D-Modus)"
automapToolTipForwardButton,Linksklick: Blickwinkel nach vorne verschieben (Hotkey: {0})\Rechtsklick: Drehachse vorwärts verschieben (Hotkey: {1})
automapToolTipBackwardButton,Linksklick: Blickwinkel nach hinten verschieben (Hotkey: {0})\Rechtsklick: Drehachse nach hinten verschieben (Hotkey: {1})
automapToolTipLeftButton,Linksklick: Blickwinkel nach links verschieben (Hotkey: {0})\Rechtsklick: Drehachse nach links verschieben (Hotkey: {1})
automapToolTipRightButton,Linksklick: Blickwinkel nach rechts verschieben (Hotkey: {0})\Rechtsklick: Drehachse nach rechts verschieben (Hotkey: {1})
automapToolTipRotateLeftButton,Linksklick: Dungeon nach links drehen (Hotkey: {0})\Rechtsklick: Kamera nach links drehen (Hotkey: {1})
automapToolTipRotateRightButton,Linksklick: Dungeon nach rechts drehen (Hotkey: {0})\Rechtsklick: Kamera nach rechts drehen (Hotkey: {1})
automapToolTipUpstairsButton,Linksklick: Blickwinkel erhöhen (Hotkey: {0})\Rechtsklick: Ebene hoch (Hotkey: {1})\Ebene kann auch bei gedrückter mittlerer Maustaste eingestellt werden\r\rHinweis: Verschiedene Render-Modi können versteckte Geometrie zeigen:\rTaste {2}: Ausschnitt-Modus\rTaste {3}: Drahtgitter-Modus\rTaste {4}: Transparent-Modus\rUmschalten zwischen den Modi mit Return-Taste\r
automapToolTipDownstairsButton,Linksklick: Blickwinkel verringern (Hotkey: {0})\Rechtsklick: Ebene runter (Hotkey: {1})\Ebene kann auch bei gedrückter mittlerer Maustaste eingestellt werden:\Rhotkey {2}: Ausschnitt-Modus\Rhotkey {3}: Drahtgitter-Modus\Rhotkey {4}: Transparent-Modus\Umschalten zwischen den Modi mit Return-Taste\r
automapToolTipPanelCompass,"Linksklick: Fokus umschalten (Hotkey: {0})\rBeacons: rot ... Spieler, grün ... Eingang, blau ... Drehachse\r\r Rechtsklick: Ansicht zurücksetzen (Hotkey: {1})\r\Doppelklick linke Maustaste im Fenster, um Markierungsnotiz zu erstellen+zu bearbeiten\Doppelklick linke Maustaste (+Strg-Taste) im Fenster, um Markierung zu erstellen\Doppelklick linke Maustaste auf eine Markierung, um eine Notiz hinzuzufügen/zu bearbeiten\Doppelklick rechte Maustaste auf eine Markierung, um sie zu löschen\Doppelklick rechte Maustaste auf das Fenster, um die Drehachse zu positionieren\Doppelklick mittlere Maustaste auf das Fenster, um die Ansicht zu zentrieren\Doppelklick linke Maustaste auf eine entdeckte Portalmarkierung, um zu einem verbundenen Teleporterportal zu springen\"
automapPlayerPositionBeacon,Spielerposition
automapRotationPivotAxis,Rotationsdrehachse
automapEntranceExitPositionBeacon,Eingangs-/Ausgangsposition
automapEntranceExit,Eingang/Ausgang
automapPlayerMarker,Spielerposition
automapTeleporterEntrance,Teleporter (Eingang)
automapTeleporterExit,Teleporter (Ausgang)
exteriorAutomapBuildingTypeAlchemist,Alchemist
exteriorAutomapBuildingTypeArmorer,Rüstungschmiede
exteriorAutomapBuildingTypeBank,Bank
exteriorAutomapBuildingTypeBookseller,Buchhändler
exteriorAutomapBuildingTypeClothingStore,Kleiderladen
exteriorAutomapBuildingTypeFurnitureStore,Möbelladen
exteriorAutomapBuildingTypeGemStore,Schmuckladen
exteriorAutomapBuildingTypeGeneralStore,Handelshaus
exteriorAutomapBuildingTypeGuildHall,Gilde
exteriorAutomapBuildingTypeHouseForSale,Haus zu verkaufen
exteriorAutomapBuildingTypeLibrary,Bibliothek
exteriorAutomapBuildingTypePalace,Palast
exteriorAutomapBuildingTypePawnShop,Pfandleihe
exteriorAutomapBuildingTypeTavern,Taverne
exteriorAutomapBuildingTypeTemple,Tempel
exteriorAutomapBuildingTypeWeaponSmith,Waffenschmied
exteriorAutomapBuildingTypeUnknown,Unbekannt
exteriorAutomapToolTipTextGridButton,"Linksklick: zum nächsten Ansichtsmodus wechseln (Hotkey: {0})\Verfügbare Ansichtsmodi sind:\r- Original (Hotkey {1})\r- Extra: enthält zusätzliche Gebäude (Hotkey {2})\r- Alles: enthält zusätzliche Gebäude, Grundflächen (Hotkey {3})\rschalte Hintergrundtextur mit {4}, {5}, {6}, {7}"
exteriorAutomapToolTipForwardButton,Linksklick: nach oben bewegen (Hotkey: {0})\Rechtsklick: zur nördlichen Ortsgrenze bewegen (Hotkey: {1})
exteriorAutomapToolTipBackwardButton,Linksklick: nach unten bewegen (Hotkey: {0})\Rechtsklick: zum südlichen Ortsrand bewegen (Hotkey: {1})
exteriorAutomapToolTipLeftButton,Linksklick: nach links bewegen (Hotkey: {0})\Rechtsklick: zur westlichen Ortsgrenze bewegen (Hotkey: {1})
exteriorAutomapToolTipRightButton,Linksklick: nach rechts bewegen (Hotkey: {0})\Rechtsklick: zum östlichen Ortsrand bewegen (Hotkey: {1})
exteriorAutomapToolTipRotateLeftButton,Linksklick: Karte nach links drehen (Hotkey: {0})\Rechtsklick: Karte um die Spielerposition\r nach links drehen (Hotkey: {1})
exteriorAutomapToolTipRotateRightButton,Linksklick: Karte nach rechts drehen (Hotkey: {0})\Rechtsklick: Karte um die Spielerposition\r nach rechts drehen (Hotkey: {1})
exteriorAutomapToolTipUpstairsButton,Linksklick: Hereinzoomen (Hotkey: {0})\Rechtsklick: Maximalen Zoom anwenden)
exteriorAutomapToolTipDownstairsButton,Linksklick: Herauszoomen (Hotkey: {0})\Rechtsklick: Minimalen Zoom anwenden)
exteriorAutomapToolTipPanelCompass,Linksklick: Spielerposition fokussieren (Hotkey: {0})\Rechtsklick: Ansicht zurücksetzen (Hotkey: {1})
loading,Bitte warten ...
classicSave,Klassik
cancel,Zurück
renameSave,Umbenennen
deleteSave,Löschen
switchChar,Charakter wechseln
savePrompt,Spiel speichern
loadPrompt,Spiel laden
saveButton,Speichern
loadButton,Laden
enterSaveName,Name eingeben
selectSaveName,Wählt einen Speicherplatz
confirmDeleteSave,"Seid Ihr sicher, dass Ihr den Spielstand löschen wollt?"
confirmOverwriteSave,Spielstand überschreiben?
youMustEnterASaveName,Ihr müsst einen Namen eingeben.
youMustSelectASaveName,Ihr müsst einen Spielstand auswählen.
noSavesFound,Keinen Spielstand gefunden. Einen Spielstand von Klassik-Daggerfall laden?
cannotSaveNow,Ihr könnt jetzt nicht speichern.
addEffect,Effekt hinzufügen
buySpell,Zauber kaufen
newSpell,Neuer Zauber
exit,Beenden
casterOnly,Nur auf Anwender
byTouch,Bei Berührung
singleTargetAtRange,einzelnes Ziel in Reichweite
areaAroundCaster,Gebiet um Anwender
areaAtRange,Gebiet auf Reichweite
fireBased,Feuerbasiert
coldBased,Kältebasiert
poisonBased,Giftbasiert
shockBased,Blitzbasiert
magicBased,Magiebasiert
selectIcon,Icon wählen
nextIcon,Nächstes Icon
previousIcon,Vorheriges Icon
nameSpell,Zauber benennen
enterSpellName,Zaubername :
noEffectsError,Du musst mindestens einen Effekt zu diesem Zauberspruch hinzufügen.
deleteSpell,Wollt Ihr diesen Zauberspruch löschen?
sortSpells,Möchtet Ihr die Zaubersprüche sortieren?
effectNotFoundError,<Effekt nicht gefunden>
noItemToActivate,Ihr habt keinen magischen Gegenstand zum verwenden
Akatosh,Akatosh
Arkay,Arkay
Dibella,Dibella
Julianos,Julianos
Kynareth,Kynareth
Mara,Mara
Stendarr,Stendarr
Zenithar,Zenithar
removeKeybind,"Sind Sie sicher, dass Sie die Tastenkombination für {0} ('{1}') entfernen wollen?"
nord,Nord
settingsNotApplied,Hinweis: Einige Änderungen werden möglicherweise erst nach einem Neustart des Spiels übernommen.
doneButton,Fertig
temple,Tempel
unknownPowers,Unbekannte Kräfte
cannotBeRepaired,Das kann nicht repariert werden.
youNeverAwaken,Ihr erwacht niemals mehr.
modSettings,Mod-Einstellungen
gameEffectsSettings,Effekt-Einstellungen
antialiasing,Antialiasing
ambientOcclusion,Umgebungsverdeckung
bloom,Bloom
motionBlur,Bewegungsunschärfe
vignette,Vignette
depthOfField,Tiefenschärfe
antialiasingTip,Ein glatteres Erscheinungsbild verleihen
enable,Aktivieren
fxaa,FXAA
smaa,SMAA
taa,TAA
none,Keine
method,Methode
fxaaFastMode,FXAA Schnellmodus
low,Niedrig
medium,Mittel
high,Hoch
smaaQuality,SMAA Qualität
taaSharpness,TAA Schärfe
disabled,Deaktiviert
setPageDefaults,Auf Standardwerte zurücksetzen
ambientOcclusionTip,Verdunkelt Höhlen und Dungeons
scalableAmbientObscurance,Skalierbare Umgebungsverdeckung
multiScaleVolumetricObscurance,Mehrskalige Volumenverdeckung
scalableAmbient,Skalierbare Umgebung
multiScaleVolumetric,Mehrskaliges Volumen
intensity,Intensität
lowest,Niedrigste
ultra,Ultra
radius,Radius
quality,Qualität
thickness,Dicke
bloomTip,Bringt helle Bereiche zum Leuchten.
threshold,Schwellenwert
diffusion,Diffusion
bloomFastMode,Bloom (Schnellmodus)
motionBlurTip,"Simuliert Objekte, die sich schneller bewegen als die Kameraerfassung"
shutterAngle,Verschlusswinkel
sampleCount,Beispielzahl
vignetteTip,Verdunkelt die Ecken des Bildschirms
smoothness,Geschmeidigkeit
roundness,Rundheit
rounded,Gerundet
depthOfFieldTip,Simuliert die Fokussierung des Kameraobjektivs
focusDistance,Fokusabstand
aperture,Blende
focalLength,Brennweite
maxBlurSize,Maximale Unschärfe
small,Klein
large,Groß
veryLarge,Sehr Groß
ditherTip,"Fügt Rauschen hinzu, um großflächige Muster wie Farbänderungen zu reduzieren"
dither,Rauschen
colorBoost,Farbverstärkung
colorBoostTip,Hellt Farben in der Nähe der Kamera auf
dungeonScale,Größe der Dungeons
interiorScale,Größe Innenräume
exteriorScale,Größe Außengebiete
dungeonFalloff,Herunterfallen in Dungeons
retroMode,Retro-Modus
retroModeTip,Rendert die Welt in niedrigere Auflösungen
mode,Modus
retroModeOff,Aus
retroMode320x200,320x200
retroMode640x400,640x400
off,Aus
posterizationFull,Posterisierung (voll)
posterizationMinusSky,Posterisierung (-Himmel)
palettizationFull,Palettisierung (voll)
palettizationMinusSky,Palettisierung (-Himmel)
postProcess,Nachbearbeitung
retroModeAspectCorrection,Seitenverhältniskorrektur
FourThree,04:03
SixteenTen,16:10
notEnoughSpellpointsLeft,Ihr habt nicht genug Spruchpunkte übrig.
totalIdentified,{0} von {1} identifiziert.
dispelMagicSuccess,Magie bannen erfolgreich ...
dispelMagicFailed,Magie bannen gescheitert ...
smallerDungeonsChanged,
youNote,Eure Notiz:
customName,Benutzerdef. Name:
StoresA,"%ef's
Beste %cn
Essentielle
Fürst %ef's
Des Abenteurers
Besondere
%ef's Feinste
Günstige
Teure
Des Kaisers
%cn
%ef's Allgemeine
Überlegene
%ef's Qualitative
Erstklassige
%rt's
Des Champions
Doktor %ef's
Fürstin %ef's"
GeneralStoresB,"Versorgung
Vorräte
Ausrüstung
Ausrüstungen
Ausstattung
Ausstattungen
Kleinwaren
Besorgungen
Handelswaren
Gemischtwaren
Kurzwaren
Handelsstelle
Münze
Waren
Warenhalle"
WeaponStoresB,"Waffen
Bewaffnung
Trutzwaffen
Bewehrung
Waffenkammer
Schwertfeger
Klingen
Hufschmiede
Kunstschmiede
Waffenschmiede"
ArmorStoresB,"Rüstkammer
Wehr
Tartschen
Rüstung
Schilde
Ägis
Metallarbeiten
Hufschmiede
Kunstschmiede
Rüstungsschmiede
Schmiede
Grobschmiede"
BookStoresB,"Bücher
Buchladen
Schriften
Folianten
Druckwerke
Lektüren
Büchertruhe
Inkunabeln"
LibraryStoresB,"Bibliothek
Buchkammer
Akademie
Öffentliche Bibliothek
Historiker
Buchkammer
Schule
Halle des Wissens"
ClothingStoresB,"Kleidung
Kleider
Gewandungen
Bekleidung
Trachten
Ornate
Aufzüge
Mode
Schneiderei
Kluften
Garderobe"
AlchemyStoresB,"Kräuter
Heilkräuter
Gewürze
Heilmittel
Antidote
Arzneien
Medizin
Tränke
Tinkturen
Medikamente
Elixiere
Pharmazie
Apotheke
Salben
Heilmittel
Gartenkräuter
Arzneimittel
Chemismen
Chemikalien
Experimentalprodukte
Alchemie
Alchemische Lösungen
Metallurgie"
GemStoresB,"Gemmen
Schmucksteine
Kleinodien
Juwelen
Edelsteine
Bijouterie
Juweliere
Juwelenschatulle
Geschmeide
Balierer"
PawnStoresB,"Pfandwaren
Pfandleihe
Schätze
Bestände
gebrauchte Ausstattung
Altware
Pfandgüter
Antiquitäten"
FurnitureStoresB,"Möbel
Mobiliare
Einrichtung
Möblierung
Dekore
Schreinerei
Holzarbeiten
Werkstatt
Holzkunst"
LivestockStoresB,"Viehstände
Tierzucht
Hoftiere
Tiere
Kreaturen
Wildtiere
Animalia
Fauna
Menagerie"
TavernsA,"Der Königin
Des Königs
Zum Dreckigen
Zum Schwarzen
Zu Maulwurf und
Zum Grünen
Zum Roten
Zum Goldenen
Zum Weißen
Zum Silbernen
Zum Blutroten
Zum Fliegenden
Zum Tanzenden
Zum Lachenden
Zum Rastlosen
Zum Durstigen
Zum Glücklosen
Zum Glücklichen
Zu Des Teufels
Zum Rostigen
Zum Heulenden
Zum Kreischenden
Zu Fledermaus und
Zu Löwe und
Zu Luchs und
Zu Zwerg und
Zu Biber und
Zu Fuchs und
Zu Maus und
Zu Sau und
Zu Feder und
Zu Kröte und
Zu Ratte und
Zum Wilden
Zu Schuft und
Zum Toten"
TavernsB,"Abgrund
Krug
Loch
Tiger
Hund
Goblin
Greif
Drache
Oger
Riese
Dschinn
Wolf
Jäger
Dolch
Schädel
Schwert
Gardist
Verlies
Helm
Kastell
Kelch
Vogel
Gnom
Igel
Bisam
Murmeltier
Skorpion
Dachs
Bock
Eber
Priester
Pfau
Hirsch
Barbar
Räuber
Erdgeist"
houseForSale,Haus zum Verkauf
theBankOf,Bank von
daggerfall,Dolchsturz
wayrest,Wegesruh
sentinel,Schildwacht
palace,Palast
regionNames,"Alik'r-Wüste
Drachenschwanzberge
Felsschlucht-Vorgebirge
Dolchsturzklippen
Yeorth-Hügelland
Dwynnen
Ravennischer Wald
Teufelsfels
Maleknawald
Insel Balfiera
Bantha
Dak'fron
Inseln der westlichen Iliac
Tamarilyn
Lainlynklippen
Bjoulsae
Wrothgarische Berge
Dolchsturz
Felsschlucht
Betonien
Schildwacht
Anticlere
Lainlyn
Wegesruh
Hochfelsdorf Gen Tem
Hammerfalldorf Gen Rai
Orsinium
Skeffingtenwald
Hammerfall-Buchtküste
Hammerfall-Meeresküste
Hochfels-Buchtküste
Hochfels-Meeresküste
Nordmoor
Menevia
Alcaire
Koegria
Bhoriane
Kambria
Phrygias
Urvaius
Ykalon
Daenia
Shalgora
Abibon-Gora
Kairou
Pothago
Myrkwasa
Ayasofya
Tigonus
Kozanset
Satakalaam
Totambu
Gramen
Ephesus
Santaki
Antiphyllos
Bergama
Gavaudon
Tulune
Glenumbramoor
Ilessanische Hügel
Cybiades"
ocean,Ozean
unknownUpper,Unbekannt
switchToRegion,
locationInRegionProvince,
dayNames,"Sundas
Morndas
Tirdas
Middas
Turdas
Fredas
Loredas"
monthNames,"Morgenstern
Morgenröte
Erstaat
Regenhand
Zweitsaat
Mittjahr
Sonnenhöhe
Herbstsaat
Herdfeuer
Eisherbst
Abenddämmerung
Abendstern"
birthSignNames,"Das Ritual
Die Liebende
Der Fürst
Der Magier
Der Schatten
Das Schlachtross
Der Lehrling
Der Krieger
Die Fürstin
Der Turm
Der Atronach
Der Dieb"
seasonNames,"Herbst
Frühling
Sommer
Winter"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00} on {3}, {4}{5} of {6:00}, 3Ä{7}"
dateTimeFormatString,"{0:00}:{1:00}:{2:00} am {3}{4} um {5:00}, 3Ä{6}"
dateFormatString,{0} der {1}{2}. {3:00}
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{0} {1}
longArmorNameFormatString,{0} {1}
strRatings,"müde
matt
kraftlos
kraftvoll
recht stark
stark
sehr stark
gewaltig
Übermächtig"
intRatings,"vegetativ
tumb
idiotisch
schummrig
klug
gewitzt
recht klug
sehr intelligent
brilliant
Genial"
wilRatings,"dümmlich
submissiv
passiv
abgelenkt
zögerlich
stabil
überzeugt
entschlossen
zielstrebig
erleuchtet"
agiRatings,"tölpelhaft
tollpatschig
unbeholfen
ungeschickt
ungelenk
flink
agil
gewandt
sehr agil
akrobatisch
"
endRatings,"kränklich
erbärmlich
unstet
erratisch
beharrlich
überdurchschnittlich
ausdauernd
zäh
titanisch
unsterblich"
perRatings,"abstoßend
unbeliebt
unbekannt
zurückhaltend
unbedeutend
interessant
bezaubernd
einnehmend
gebieterisch
Charismatisch"
spdRatings,"inaktiv
träge
sehr langsam
langsam
durchschnittlich
überdurchschnittlich
schnell
flinkfüßig
blitzschnell
Kometengleich"
lucRatings,"verdammt
hoffnungslos
unbegünstigt
glücklos
recht glücklich
glücklich
sehr glücklich
begünstigt
glückverheißend
Göttergesegnet"
Mage,Magier
Spellsword,Magierkrieger
Battlemage,Kampfmagier
Sorcerer,Hexer
Healer,Heiler
Nightblade,Nachtklinge
Bard,Barde
Burglar,Einbrecher
Rogue,Bandit
Acrobat,Akrobat
Thief,Dieb
Assassin,Assassine
Monk,Mönch
Archer,Schütze
Ranger,Waldläufer
Barbarian,Barbar
Warrior,Krieger
Knight,Ritter
Custom,Indiv.
darkBrotherhoodRanks,"Lehrling
Geselle
Operator
Schlächter
Henker
Rächer
Terminator
Assassine
Dunkler Bruder
Meisterassassine"
fightersRanks,"Lehrling
Geselle
Schwertkämpfer
Protektor
Verteidiger
Beschützer
Wächter
Champion
Kriegsfürst
Meister"
knightlyOrderRanks,"Anwärter
Knappe
Edelknecht
Chevalier
Hüter
Ritterbruder
Kommandant
Marschall
Seneschall
Paladin"
magesRanks,"Lehrling
Geselle
Gelehrter
Beschwörer
Magier
Verzauberer
Hexer
Zauberer
Hochmagier
Erzmagier"
templeRanks,"Novize
Eingeweihter
Akolyth
Adept
Kurator
Jünger
Bruder
Prophet
Meister
Patriarch"
thievesRanks,"Lehrling
Geselle
Halunke
Gauner
Räuber
Bandit
Dieb
Hauptmann
Anführer
Meisterdieb"
darkSister,Dunkle Schwester
nonMember,Nichtmitglied
knightSister,Ritterschwester
matriarch,Matriarchin
sister,Schwester
daedricSkill,Daedrisch
orcishSkill,Orkisch
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3Ä{5}
hthDamageFormatString,{0} Schaden: {1}-{2}
affiliationFormatString,{0} (Ruf:{1})
answers_5404,"bow
bow arrow
crossbow
bows
crossbows
Bogen
bogen
Bogen und Pfeil
Armbrust
Bögen
Armbrüste"
answers_5406,"one
1
Eins
eins"
answers_5423,"benefactor
the benefactor
der Wohltäter
Wohltäter"
answers_5424,"shut up
shutup
shaddup
maul halten
halts maul
stillschweigen
Stillschweigen
schweig
Schweig
still
Still
schweigt
stille
Stille
ruhe
Ruhe
sei ruhig
Sei Ruhig"
answers_5464,"yes
ok
i agree
y
agreed
done
fine
okay
sure
yep
ja
Ja
JA
jep
Jep
JEP
klar
Klar
KLAR
natürlich
Natürlich
jo
Jo
JO"
random,Zufall
nordSurnameImmutableSuffix,sen
confirmDefaultControls,Seid Ihr sicher die Standardsteuerung einzustellen?
saveLoadPromptFormat,{0} für '{1}'
